dia,hr,temp 
lunes,3,17
lunes,4,17
lunes,5,17
lunes,6,16
lunes,7,16
lunes,8,16
lunes,9,17
lunes,10,18
lunes,11,19
lunes,12,20
lunes,13,21
lunes,14,21
lunes,15,22
lunes,16,21
lunes,17,21
lunes,18,20
lunes,19,19
lunes,20,18
lunes,21,17
lunes,22,17
lunes,23,17
martes,0,16
martes,1,16
martes,2,16
martes,3,16
martes,4,16
martes,5,16
martes,6,16
martes,7,16
martes,8,16
martes,9,17
martes,10,19
martes,11,20
martes,12,22
martes,13,24
martes,14,24
martes,15,25
martes,16,25
martes,17,25
martes,18,24
martes,19,22
martes,20,21
martes,21,20
martes,22,20
martes,23,20
miercoles,0,19
miercoles,1,20
miercoles,2,19
