"file" "semantic.expression" "file.expression"
"KA.AN1.39.tiff" "ANG" "ANG"
"KA.AN2.40.tiff" "ANG" "ANG"
"KA.AN3.41.tiff" "DIS" "ANG"
"KA.DI1.42.tiff" "DIS" "DIS"
"KA.DI2.43.tiff" "DIS" "DIS"
"KA.DI3.44.tiff" "DIS" "DIS"
"KA.HA1.29.tiff" "HAP" "HAP"
"KA.HA2.30.tiff" "HAP" "HAP"
"KA.HA3.31.tiff" "HAP" "HAP"
"KA.HA4.32.tiff" "HAP" "HAP"
"KA.NE1.26.tiff" "HAP" "NEU"
"KA.NE2.27.tiff" "HAP" "NEU"
"KA.NE3.28.tiff" "HAP" "NEU"
"KA.SA1.33.tiff" "SAD" "SAD"
"KA.SA2.34.tiff" "SAD" "SAD"
"KA.SA3.35.tiff" "SAD" "SAD"
"KA.SU1.36.tiff" "SUR" "SUR"
"KA.SU2.37.tiff" "SUR" "SUR"
"KA.SU3.38.tiff" "SUR" "SUR"
"KL.AN1.167.tiff" "SAD" "ANG"
"KL.AN2.168.tiff" "SAD" "ANG"
"KL.AN3.169.tiff" "ANG" "ANG"
"KL.DI1.170.tiff" "DIS" "DIS"
"KL.DI2.171.tiff" "DIS" "DIS"
"KL.DI3.172.tiff" "DIS" "DIS"
"KL.DI4.173.tiff" "DIS" "DIS"
"KL.HA1.158.tiff" "HAP" "HAP"
"KL.HA2.159.tiff" "HAP" "HAP"
"KL.HA3.160.tiff" "HAP" "HAP"
"KL.NE1.155.tiff" "SUR" "NEU"
"KL.NE2.156.tiff" "SAD" "NEU"
"KL.NE3.157.tiff" "SUR" "NEU"
"KL.SA1.161.tiff" "SAD" "SAD"
"KL.SA2.162.tiff" "SAD" "SAD"
"KL.SA3.163.tiff" "SAD" "SAD"
"KL.SU1.164.tiff" "SUR" "SUR"
"KL.SU2.165.tiff" "SUR" "SUR"
"KL.SU3.166.tiff" "SUR" "SUR"
"KM.AN1.17.tiff" "ANG" "ANG"
"KM.AN2.18.tiff" "ANG" "ANG"
"KM.AN3.19.tiff" "ANG" "ANG"
"KM.DI1.20.tiff" "DIS" "DIS"
"KM.DI3.22.tiff" "DIS" "DIS"
"KM.HA1.4.tiff" "HAP" "HAP"
"KM.HA2.5.tiff" "HAP" "HAP"
"KM.HA3.6.tiff" "HAP" "HAP"
"KM.HA4.7.tiff" "HAP" "HAP"
"KM.NE1.1.tiff" "SAD" "NEU"
"KM.NE2.2.tiff" "HAP" "NEU"
"KM.NE3.3.tiff" "SAD" "NEU"
"KM.SA1.9.tiff" "SAD" "SAD"
"KM.SA2.10.tiff" "SAD" "SAD"
"KM.SA3.11.tiff" "SAD" "SAD"
"KM.SA5.13.tiff" "DIS" "SAD"
"KM.SU1.14.tiff" "SUR" "SUR"
"KM.SU2.15.tiff" "SUR" "SUR"
"KM.SU3.16.tiff" "SUR" "SUR"
"KR.AN1.83.tiff" "ANG" "ANG"
"KR.AN2.84.tiff" "ANG" "ANG"
"KR.AN3.85.tiff" "ANG" "ANG"
"KR.DI1.86.tiff" "DIS" "DIS"
"KR.DI2.87.tiff" "DIS" "DIS"
"KR.DI3.88.tiff" "ANG" "DIS"
"KR.HA1.74.tiff" "HAP" "HAP"
"KR.HA2.75.tiff" "HAP" "HAP"
"KR.NE1.71.tiff" "ANG" "NEU"
"KR.NE2.72.tiff" "ANG" "NEU"
"KR.NE3.73.tiff" "ANG" "NEU"
"KR.SA1.77.tiff" "SAD" "SAD"
"KR.SA2.78.tiff" "SAD" "SAD"
"KR.SA3.79.tiff" "SAD" "SAD"
"KR.SU1.80.tiff" "SUR" "SUR"
