NOM_ENT,NOM_LOC,P15.sesc,P15cpri.inc,P15cpri.com,P15csec.inc,P15csec.com,P18.c.post,VIV5_R,VIV6.complemento,VIV6,CVEGEO
Nuevo León,Total de la Entidad,95010,267377,431639,149693,865327,1341125,0.91,1147152,23952,190000000
Nuevo León,Total del Municipio,72,242,309,152,596,420,1.08,695,13,190010000
Nuevo León,Abasolo,55,188,190,119,403,344,1.03,500,2,190010001
Nuevo León,Abasolo,0,0,3,1,4,2,2,5,0,190010021
Nuevo León,Colinas del Fraile,0,2,6,1,5,2,1.72,3,4,190010046
Nuevo León,Alberto Villarreal,16,50,105,29,179,68,1.21,178,7,190010047
Nuevo León,Total del Municipio,162,574,688,161,482,455,0.8,1152,11,190020000
Nuevo León,Agualeguas,119,282,285,105,287,345,0.76,664,2,190020001
Nuevo León,Tres Hermanos,3,9,11,7,6,3,1.07,14,0,190020009
Nuevo León,Cieneguitas,3,15,18,4,7,6,0.98,18,2,190020012
Nuevo León,La Escondida,3,38,55,3,21,15,0.86,60,0,190020017
Nuevo León,Los Garza,6,32,77,5,52,19,0.79,85,0,190020021
Nuevo León,Lagunillas (San José Lagunillas),1,20,14,2,3,5,0.98,19,1,190020027
Nuevo León,El Nogal,1,14,20,0,7,2,0.9,19,0,190020035
Nuevo León,Los Nogales,11,53,78,13,44,34,0.8,106,0,190020036
Nuevo León,Ojo de Agua,1,27,27,2,7,7,0.75,34,0,190020037
Nuevo León,La Purísima,0,1,3,0,1,0,0.67,3,0,190020047
Nuevo León,Rancho Nuevo,5,40,67,9,22,8,0.77,74,2,190020048
Nuevo León,Los Vázquez,1,3,2,1,3,0,1.06,4,0,190020060
Nuevo León,Raúl Molina,3,7,3,3,5,1,1.57,7,1,190020306
Nuevo León,Total del Municipio,65,349,257,37,219,92,0.71,463,1,190030000
Nuevo León,Los Aldamas,34,131,115,11,85,50,0.65,190,1,190030001
Nuevo León,Barrio Aldamas,5,66,43,6,23,11,0.82,69,0,190030004
Nuevo León,Buena Vista,0,1,1,0,2,0,0.56,3,0,190030006
Nuevo León,Aldama [Estación],16,104,86,18,100,29,0.73,163,0,190030010
Nuevo León,La Palmita,2,9,4,0,2,0,0.63,9,0,190030016
Nuevo León,San Pedro,2,9,3,0,2,0,0.5,8,0,190030022
Nuevo León,La Loma [Ganadera],1,15,3,2,2,1,1.24,11,0,190030037
Nuevo León,Total del Municipio,673,3451,4690,1085,6259,5684,0.91,9009,139,190040000
Nuevo León,Ciudad de Allende,502,2434,3599,875,5056,4945,0.9,7157,113,190040001
Nuevo León,Altamira,4,6,16,1,8,11,1.04,19,0,190040002
Nuevo León,Atongo de Arriba,0,13,4,0,11,3,0.9,14,0,190040004
Nuevo León,La Boquilla (Las Boquillas),2,26,30,8,43,26,1.03,53,0,190040005
Nuevo León,El Cerrito,7,44,58,14,31,24,0.99,78,0,190040006
Nuevo León,La Colmena de Abajo,6,24,20,3,30,9,0.99,36,1,190040007
Nuevo León,La Colmena de Arriba,3,26,28,9,31,22,0.96,48,0,190040008
Nuevo León,Los Aguirre,2,28,12,5,27,10,0.89,36,1,190040010
Nuevo León,Chancaca (Los Chancacos),1,6,5,0,5,14,0.78,12,0,190040011
Nuevo León,Los Guzmán,9,42,40,9,44,31,0.9,68,1,190040012
Nuevo León,Lazarillos de Abajo,4,57,57,10,83,76,0.81,123,1,190040014
Nuevo León,Lazarillos de Arriba,8,46,38,6,34,23,0.84,75,0,190040015
Nuevo León,Mata de Guaje,0,10,11,2,12,3,1.18,16,0,190040016
Nuevo León,La Nueva Esperanza,0,1,1,0,6,12,1.09,8,0,190040017
