Localidad	Población.total	Viviendas particulares habitadas	Población de 15 años o más analfabeta	Población de 15 años o más sin primaria completa	Viviendas particulares habitadas sin excusado	Viviendas particulares habitadas sin energía eléctrica	Viviendas particulares habitadas sin disponibilidad de agua entubada	Promedio de ocupantes por cuarto en viviendas particulares habitadas	Viviendas particulares habitadas con piso de tierra	Viviendas particulares habitadas que no disponen de refrigerador	Índice de marginación	Grado de marginación	"Índice de marginación escala 
0 a 100"	Lugar que ocupa en el contexto nacional	Lugar que ocupa en el contexto  estatal
Abasolo	 1 976	504	2.66	18.71	1.98	1	0.2	1.03	0.4	6.15	-1.3314	Muy bajo	4.0823	 104 096	 1 884
Abasolo	22	5	0	0	40	0	100	2	0	0	-0.7878	Alto	8.3975	 83 397	 1 123
Colinas del Fraile	34	7	0	12.5	71.43	57.14	71.43	1.72	57.14	71.43	0.5304	Alto	18.8625	 26 901	162
Alberto Villarreal	716	186	3.06	14.77	8.6	2.72	22.16	1.21	3.78	12.9	-1.132	Bajo	5.6653	 99 172	 1 652
Agualeguas	 1 995	669	5.35	28.18	1.79	0.9	1.05	0.76	0.3	3.44	-1.2942	Bajo	4.378	 103 493	 1 845
Tres Hermanos	58	14	0	30.77	0	0	7.14	1.07	0	0	-1.2699	Bajo	4.5707	 103 019	 1 819
Cieneguitas	57	21	5.66	33.96	14.29	0	5	0.98	10	4.76	-1.0182	Medio	6.5687	 94 675	 1 480
La Escondida	173	62	2.86	30.37	8.06	0	1.69	0.86	0	3.23	-1.2466	Bajo	4.7552	 102 508	 1 791
Los Garza	244	85	2.54	19.9	1.18	0	1.18	0.79	0	2.35	-1.4203	Muy bajo	3.3767	 105 190	 1 952
Lagunillas (San José Lagunillas)	60	20	2.22	46.67	5	0	5	0.98	5	0	-1.053	Medio	6.2926	 96 140	 1 534
El Nogal	55	19	0	34.09	5.26	0	0	0.9	0	5.26	-1.2441	Bajo	4.7757	 102 453	 1 789
