Localidad,Población total,Viviendas particulares habitadas,Población de 15 años o más analfabeta,Población de 15 años o más sin primaria completa, Viviendas particulares habitadas sin excusado, Viviendas particulares habitadas sin energía eléctrica,Viviendas particulares habitadas sin disponibilidad de agua entubada,Promedio de ocupantes por cuarto en viviendas particulares habitadas,Viviendas particulares habitadas con piso de tierra,Viviendas particulares habitadas que no disponen de refrigerador,Índice de marginación,Grado de marginación,"Índice de marginación escala 
0 a 100",Lugar que ocupa en el contexto nacional,Lugar que ocupa en el contexto  estatal
Abasolo,1976,504,2.662721894,18.70669746,1.984126984,0.998003992,0.200400802,1.03,0.398406375,6.150793651,-1.331401312,Muy bajo,4.082348976,104096,1884
Abasolo,22,5,0,0,40,0,100,2,0,0,-0.787845756,Alto,8.397487957,83397,1123
Colinas del Fraile,34,7,0,12.5,71.42857143,57.14285714,71.42857143,1.72,57.14285714,71.42857143,0.530381306,Alto,18.86253226,26901,162
Alberto Villarreal,716,186,3.06345733,14.76510067,8.602150538,2.717391304,22.16216216,1.21,3.783783784,12.90322581,-1.132007303,Bajo,5.665283513,99172,1652
Agualeguas,1995,669,5.345501956,28.17990162,1.793721973,0.900900901,1.051051051,0.76,0.3003003,3.437967115,-1.294159712,Bajo,4.37799986,103493,1845
Tres Hermanos,58,14,0,30.76923077,0,0,7.142857143,1.07,0,0,-1.269891899,Bajo,4.570655398,103019,1819
Cieneguitas,57,21,5.660377359,33.96226415,14.28571429,0,5,0.98,10,4.761904762,-1.018214149,Medio,6.568656258,94675,1480
La Escondida,173,62,2.857142857,30.37037037,8.064516129,0,1.694915254,0.86,0,3.225806452,-1.246643374,Bajo,4.755219082,102508,1791
Los Garza,244,85,2.538071066,19.89528796,1.176470588,0,1.176470588,0.79,0,2.352941177,-1.420287284,Muy bajo,3.376707543,105190,1952
Lagunillas (San José Lagunillas),60,20,2.222222222,46.66666667,5,0,5,0.98,5,0,-1.052983825,Medio,6.292629304,96140,1534
El Nogal,55,19,0,34.09090909,5.263157895,0,0,0.9,0,5.263157895,-1.24406342,Bajo,4.775700628,102453,1789
Los Nogales,312,110,4.62184874,27.46781116,6.363636364,0.952380952,13.33333333,0.8,0,8.181818182,-1.206178767,Bajo,5.07645653,101467,1754
Ojo de Agua,81,34,2.739726027,39.43661972,0,0,0,0.75,0,0,-1.260508348,Bajo,4.645148839,102810,1810
La Purísima,6,3,0,20,0,0,33.33333333,0.67,0,33.33333333,-1.199444795,Bajo,5.129915695,101272,1744
Rancho Nuevo,192,76,2.614379085,29.8013245,3.947368421,0,6.578947368,0.77,2.631578947,1.315789474,-1.281526612,Bajo,4.478290589,103239,1832
Los Vázquez,18,4,9.090909091,40,0,0,0,1.06,0,0,-1.09087936,Bajo,5.991787007,97689,1586
Raúl Molina,36,8,12.5,45.45454545,0,50,37.5,1.57,12.5,62.5,0.039996487,Alto,14.96950122,42837,322
Los Aldamas,545,191,7.534246575,38.73239437,3.141361257,0,2.631578947,0.65,0.523560209,2.094240838,-1.19186531,Bajo,5.190087158,101039,1734
Barrio Aldamas,214,69,3.773584906,46.1038961,2.898550725,0,5.797101449,0.82,0,5.797101449,-1.091951627,Bajo,5.983274573,97736,1589
Buena Vista,5,3,25,25,0,0,0,0.56,0,0,-1.177023742,Bajo,5.307910305,100608,1712
Aldama (Estación),490,163,3.611111111,33.99433428,1.840490798,1.226993865,1.851851852,0.73,0,3.680981595,-1.262305123,Bajo,4.630884733,102863,1814
La Palmita,20,9,0,64.70588235,22.22222222,0,22.22222222,0.63,0,11.11111111,-0.809715205,Alto,8.223872381,84536,1147
