ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,POB20,EDU28,EDU31,P15mas.con.primaria.incompleta,P15mas.con.secundaria.completa,P15mas.con.secundaria.incompleta,P15mas.con.primaria.completa,P18mas.con.post,VIV2,VIV5_R,VIV6.complemento,VIV6,VIV14,VIV15,VIV16,VIV17,VIV19,VIV26
7,Chiapas,4,Altamirano,377,12 de Octubre,47,16,9,11,12,6,4,4,15,2.39,14,1,15,0,15,0,15,5
7,Chiapas,59,Ocosingo,3065,13 de Septiembre,106,22,27,37,6,9,25,2,34,2.41,33,1,34,0,18,16,26,8
7,Chiapas,17,Cintalapa,376,14 de Febrero,120,20,20,34,35,4,17,7,45,1.46,39,6,43,2,44,1,28,20
7,Chiapas,59,Ocosingo,2935,14 de Septiembre,19,13,8,6,0,2,3,0,7,2,3,4,1,6,7,0,6,0
7,Chiapas,32,Escuintla,311,15 de Junio Dos,72,13,12,23,10,5,15,4,26,1.79,16,10,25,1,23,3,16,9
7,Chiapas,59,Ocosingo,2936,15 de Septiembre,74,15,12,12,15,3,11,12,23,2.3,18,5,22,1,0,23,23,3
1,Aguascalientes,7,Rincón de Romos,16,16 de Septiembre,285,29,33,54,107,13,48,25,91,1.29,83,8,90,1,81,9,85,64
7,Chiapas,30,Chicomuselo,137,16 de Septiembre (Rancho Alegre),96,23,20,26,17,7,22,4,29,1.57,26,3,28,1,0,29,29,22
7,Chiapas,31,Chilón,350,1ra. Yalxex,114,38,32,45,10,4,17,4,46,2.83,16,30,1,45,3,43,9,0
7,Chiapas,30,Chicomuselo,6,1ro. de Enero,40,11,11,22,0,7,0,0,14,1.87,14,0,14,0,0,14,14,9
7,Chiapas,30,Chicomuselo,294,1ro. de Mayo,84,23,14,42,12,7,8,1,28,1.93,11,17,25,3,0,28,25,10
7,Chiapas,65,Palenque,1301,20 de Febrero,42,14,12,20,2,1,6,1,12,2.22,10,2,11,1,11,1,2,2
7,Chiapas,34,Frontera Comalapa,395,20 de Mayo,93,29,29,28,5,4,23,3,26,2.04,18,8,23,3,0,26,24,13
7,Chiapas,2,Acala,71,20 de Noviembre,3354,494,458,665,708,161,563,700,1198,1.66,1072,124,1180,17,1166,27,1152,949
7,Chiapas,30,Chicomuselo,8,20 de Noviembre,280,47,44,118,44,19,43,8,98,1.79,85,8,98,0,89,7,82,58
7,Chiapas,57,Motozintla,563,20 de Noviembre,86,13,11,19,13,6,31,5,26,1.86,18,8,25,1,6,20,26,9
7,Chiapas,57,Motozintla,573,20 de Noviembre,178,24,34,49,17,11,50,8,63,2.28,18,45,63,0,0,63,49,18
