ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P15YM_SE,P15PRI_IN,P15PRI_CO,P15SEC_IN,P15SEC_CO,P18YM_PB,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI
19,Nuevo León,000,Total de la entidad Nuevo León,0000,Total de la Entidad,95010,267377,431639,149693,865327,1341125,0.91,1147152,23952
19,Nuevo León,000,Total de la entidad Nuevo León,9998,Localidades de una vivienda,610,1900,1709,354,1398,756,*,2176,253
19,Nuevo León,000,Total de la entidad Nuevo León,9999,Localidades de dos viviendas,335,1079,861,155,584,297,*,1240,184
19,Nuevo León,001,Abasolo,0000,Total del Municipio,72,242,309,152,596,420,1.08,695,13
19,Nuevo León,001,Abasolo,9998,Localidades de una vivienda,1,2,3,2,4,3,*,6,0
19,Nuevo León,001,Abasolo,9999,Localidades de dos viviendas,0,0,2,0,1,1,*,3,0
19,Nuevo León,001,Abasolo,0001,Abasolo,55,188,190,119,403,344,1.03,500,2
19,Nuevo León,001,Abasolo,0008,La Gloria,*,*,*,*,*,*,*,*,*
19,Nuevo León,001,Abasolo,0009,Los Ligeros,*,*,*,*,*,*,*,*,*
19,Nuevo León,001,Abasolo,0011,La Muralla,*,*,*,*,*,*,*,*,*
19,Nuevo León,001,Abasolo,0021,Abasolo,0,0,3,1,4,2,2,5,0
19,Nuevo León,001,Abasolo,0025,Casa Rosa (Los Olivos),*,*,*,*,*,*,*,*,*
19,Nuevo León,001,Abasolo,0033,Yamallel,*,*,*,*,*,*,*,*,*
19,Nuevo León,001,Abasolo,0036,Los Lozano,*,*,*,*,*,*,*,*,*
19,Nuevo León,001,Abasolo,0037,La Placeta,*,*,*,*,*,*,*,*,*
19,Nuevo León,001,Abasolo,0040,Cuatro Vientos,*,*,*,*,*,*,*,*,*
19,Nuevo León,001,Abasolo,0042,Los Diez (La Tripona),*,*,*,*,*,*,*,*,*
19,Nuevo León,001,Abasolo,0044,Las Palmas,*,*,*,*,*,*,*,*,*
19,Nuevo León,001,Abasolo,0046,Colinas del Fraile,0,2,6,1,5,2,1.72,3,4
19,Nuevo León,001,Abasolo,0047,Alberto Villarreal,16,50,105,29,179,68,1.21,178,7
19,Nuevo León,002,Agualeguas,0000,Total del Municipio,162,574,688,161,482,455,0.80,1152,11
19,Nuevo León,002,Agualeguas,9998,Localidades de una vivienda,1,26,21,6,11,7,*,32,2
19,Nuevo León,002,Agualeguas,9999,Localidades de dos viviendas,4,7,7,1,6,3,*,13,1
19,Nuevo León,002,Agualeguas,0001,Agualeguas,119,282,285,105,287,345,0.76,664,2
19,Nuevo León,002,Agualeguas,0004,Agua Blanca,*,*,*,*,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0009,Tres Hermanos,3,9,11,7,6,3,1.07,14,0
19,Nuevo León,002,Agualeguas,0012,Cieneguitas,3,15,18,4,7,6,0.98,18,2
19,Nuevo León,002,Agualeguas,0017,La Escondida,3,38,55,3,21,15,0.86,60,0
19,Nuevo León,002,Agualeguas,0020,El Maguey,*,*,*,*,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0021,Los Garza,6,32,77,5,52,19,0.79,85,0
19,Nuevo León,002,Agualeguas,0022,La Gloria,*,*,*,*,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0027,Lagunillas (San José Lagunillas),1,20,14,2,3,5,0.98,19,1
19,Nuevo León,002,Agualeguas,0030,Los Martínez,*,*,*,*,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0033,El Milagro,*,*,*,*,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0035,El Nogal,1,14,20,0,7,2,0.90,19,0
19,Nuevo León,002,Agualeguas,0036,Los Nogales,11,53,78,13,44,34,0.80,106,0
19,Nuevo León,002,Agualeguas,0037,Ojo de Agua,1,27,27,2,7,7,0.75,34,0
19,Nuevo León,002,Agualeguas,0041,El Papalote,*,*,*,*,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0045,El Prieto,*,*,*,*,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0047,La Purísima,0,1,3,0,1,0,0.67,3,0
19,Nuevo León,002,Agualeguas,0048,Rancho Nuevo,5,40,67,9,22,8,0.77,74,2
19,Nuevo León,002,Agualeguas,0060,Los Vázquez,1,3,2,1,3,0,1.06,4,0
19,Nuevo León,002,Agualeguas,0076,El Recodo,*,*,*,*,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0087,Rancho Seco,*,*,*,*,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0090,Puerta las Ovejas,*,*,*,*,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0091,Minerva,*,*,*,*,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0097,Los Robles,*,*,*,*,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0111,San José,*,*,*,*,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0131,San Andrés (Marín de Porras),*,*,*,*,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0134,Tío Mario,*,*,*,*,*,*,*,*,*
