,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,wine
1,0.1424623,2.188664464,-2.192663755,-0.744720785,0.569913952,-1.100055192,-1.44624721,1.034913165,1.812949971,0.19308191,-0.915393709,-0.937157484,red
2,0.451001011,3.281982339,-2.192663755,-0.597594078,1.197882506,-0.311296125,-0.862402248,0.701432322,-0.115064174,0.999501691,-0.58002349,-0.937157484,red
3,0.451001011,2.553103756,-1.9174051,-0.660648381,1.026618355,-0.874695459,-1.092401779,0.768128491,0.258099854,0.797896746,-0.58002349,-0.937157484,red
4,3.073580051,-0.362410578,1.660957411,-0.744720785,0.541369927,-0.762015592,-0.986248149,1.101609333,-0.363840192,0.327485207,-0.58002349,0.207983041,red
5,0.1424623,2.188664464,-2.192663755,-0.744720785,0.569913952,-1.100055192,-1.44624721,1.034913165,1.812949971,0.19308191,-0.915393709,-0.937157484,red
6,0.1424623,1.945704936,-2.192663755,-0.765738886,0.541369927,-0.987375326,-1.340093581,1.034913165,1.812949971,0.19308191,-0.915393709,-0.937157484,red
7,0.528135688,1.581265645,-1.779775773,-0.807775088,0.370105776,-0.874695459,-1.003940421,0.568039985,0.506875873,-0.478934574,-0.915393709,-0.937157484,red
8,0.065327623,1.884965054,-2.192663755,-0.891847493,0.255929675,-0.874695459,-1.676246741,-0.032225531,1.066621915,-0.411732925,-0.412338381,1.353123566,red
9,0.451001011,1.459785881,-2.055034428,-0.723702684,0.484281877,-1.212735059,-1.729323555,0.701432322,0.880039901,0.260283559,-0.831551154,1.353123566,red
10,0.219596978,0.973866825,0.284664137,0.13803946,0.427193826,-0.762015592,-0.243172743,1.034913165,0.817845897,1.805921472,0.006874393,-0.937157484,red
11,-0.397480443,1.459785881,-1.642146446,-0.765738886,1.169338481,-0.874695459,-0.897786791,0.401299564,0.382487864,0.058678613,-1.083078818,-0.937157484,red
12,0.219596978,0.973866825,0.284664137,0.13803946,0.427193826,-0.762015592,-0.243172743,1.034913165,0.817845897,1.805921472,0.006874393,-0.937157484,red
13,-1.245961897,1.672375467,-2.192663755,-0.807775088,0.94098628,-0.818355526,-1.003940421,-0.132269784,2.248308004,-0.075724683,-0.496180935,-0.937157484,red
14,0.451001011,1.642005526,-0.197038508,-0.807775088,1.654586909,-1.212735059,-1.534708568,0.901520828,0.258099854,6.913246751,-1.166921373,-0.937157484,red
15,1.299482465,1.702745408,-0.953999809,-0.345376865,3.424316471,1.209882075,0.517594934,1.301697839,-0.363840192,2.343534659,-1.083078818,-0.937157484,red
16,1.299482465,1.702745408,-0.885185145,-0.324358764,3.25305232,1.153542141,0.570671749,1.301697839,-0.301646188,2.679542901,-1.083078818,-0.937157484,red
17,0.990943754,-0.362410578,1.660957411,-0.765738886,1.026618355,0.252103208,-0.225480472,0.734780407,0.506875873,1.46991323,0.006874393,1.353123566,red
18,0.682405044,1.338306117,-0.265853172,-0.786756987,8.904769307,-0.818355526,-1.057017236,0.701432322,-0.674810216,5.031600596,-0.999236263,-0.937157484,red
19,0.1424623,1.520525763,-1.642146446,-0.219268258,0.855354204,-1.381754859,-1.534708568,0.901520828,1.004427911,-0.21012798,-1.250763927,-2.082298008,red
20,0.528135688,-0.11945105,1.316884093,-0.765738886,8.134080627,-0.762015592,-1.057017236,0.734780407,-1.110168249,3.687567628,-1.083078818,0.207983041,red
21,1.299482465,-0.726849869,1.110440102,-0.765738886,0.598457977,-0.085936392,-0.986248149,0.701432322,1.066621915,-0.008523035,-0.915393709,0.207983041,red
22,0.296731656,0.305728124,-0.059409181,-0.660648381,0.741178103,-0.423975992,-0.791633162,1.168305502,1.875143976,0.797896746,-0.663866045,-0.937157484,red
23,0.528135688,0.548687651,-0.747555818,-0.807775088,1.426234708,-1.156395126,-1.393170395,0.634736154,-0.301646188,2.545139605,-0.831551154,-0.937157484,red
24,0.990943754,0.913126943,-1.435702455,-0.660648381,0.798266154,-1.212735059,-0.862402248,0.701432322,-0.301646188,-0.008523035,-0.915393709,-0.937157484,red
25,-0.243211088,0.366468006,-1.229258464,-0.63963028,0.826810179,-0.536655859,-1.340093581,0.701432322,1.315397934,0.663493449,-0.663866045,0.207983041,red
26,-0.706019154,0.305728124,-1.091629136,-0.849811291,0.684090053,-1.100055192,-1.640862198,0.267907227,0.755651892,0.19308191,-0.999236263,-0.937157484,red
