"titulo","anio","director","ratingIMDB","sentimiento","critico","archivo.texto","url.imdb"
"Scream: grita antes de morir",1996,"Wes Craven",7.2,"P","Lars Lindahl","cv712_22920.txt","http://www.imdb.com/title/tt0117571/"
"La vida en el abismo",1996,"Danny Boyle",8.2,"P","Jeremy Dennison","cv270_6079.txt","http://www.imdb.com/title/tt0117951/"
"El secreto",1998,"Volker Schlöndorff",6,"P","Jamie Peck","cv702_11500.txt","http://www.imdb.com/title/tt0120782/"
"Titanic",1997,"James Cameron",7.8,"P","Lawrence Mixson","cv368_10466.txt","http://www.imdb.com/title/tt0120338/"
"Todo o nada",1997,"Peter Cattaneo",7.2,"P","E. Benjamin Kelsey","cv951_10926.txt","http://www.imdb.com/title/tt0119164/"
"Historia americana X",1998,"Tony Kaye",8.5,"P","Nathaniel R. Atcheson","cv006_15448.txt","http://www.imdb.com/title/tt0120586/"
"eXistenZ: Mundo virtual",1999,"David Cronenberg",6.8,"P","Sean P. Molloy","cv189_22934.txt","http://www.imdb.com/title/tt0120907/"
"Tu primera vez",1999,"Paul Weitz",7,"P","Robert Workman","cv400_19220.txt","http://www.imdb.com/title/tt0163651/"
"El regreso del Jedi",1983,"Richard Marquand",8.3,"P","Phil Curtolo","cv061_8837.txt","http://www.imdb.com/title/tt0086190/"
"Mentiroso, mentiroso",1997,"Tom Shadyac",6.8,"P","Serdar Yegulalp","cv507_9220.txt","http://www.imdb.com/title/tt0119528/"
"El divino Ned",1998,"Kirk Jones",7.3,"P","Craig Roush","cv483_16378.txt","http://www.imdb.com/title/tt0166396/"
"Welcome to Sarajevo",1997,"Michael Winterbottom",6.9,"P","Vallejo","cv795_10122.txt","http://www.imdb.com/title/tt0120490/"
"La guerra de las galaxias",1977,"George Lucas",8.6,"P","Christopher E. Meadows","cv953_6836.txt","http://www.imdb.com/title/tt0076759/"
"Mejor... Imposible",1997,"James L. Brooks",7.7,"P","Brian Takeshita","cv153_10779.txt","http://www.imdb.com/title/tt0119822/"
"Matrix",1999,"Lana Wachowski",8.7,"P","Brandon Herring","cv049_20471.txt","http://www.imdb.com/title/tt0133093/"
"Star wars: Episodio I - La amenaza fantasma",1999,"George Lucas",6.5,"P","Vince Yim","cv457_18453.txt","http://www.imdb.com/title/tt0120915/"
"Bastard Out of Carolina",1996,"Anjelica Huston",7.5,"P","Alex Fung","cv830_6014.txt","http://www.imdb.com/title/tt0115633/"
"El despertar del diablo",1981,"Sam Raimi",7.5,"P","Chuck Dowling","cv346_18168.txt","http://www.imdb.com/title/tt0083907/"
"¡Eso que tú haces!",1996,"Tom Hanks",6.9,"P","David Landers","cv429_7439.txt","http://www.imdb.com/title/tt0117887/"
"El precio de un hombre",1953,"Anthony Mann",7.4,"P","David Nusair","cv767_14062.txt","http://www.imdb.com/title/tt0044953/"
"Bulworth",1998,"Warren Beatty",6.8,"P","David Wilcock","cv148_16345.txt","http://www.imdb.com/title/tt0118798/"
"Shrek",2001,"Andrew Adamson",7.9,"P","Edward Johnson-Ott","cv059_28885.txt","http://www.imdb.com/title/tt0126029/"
"Curdled",1996,"Reb Braddock",5.9,"P","Alex Fung","cv254_6027.txt","http://www.imdb.com/title/tt0115994/"
"Kidô keisatsu patorebâ: Gekijô-ban",1989,"Mamoru Oshii",7.1,"P","Christopher E. Meadows","cv371_7630.txt","http://www.imdb.com/title/tt0100339/"
"Princess Caraboo",1994,"Michael Austin",5.9,"P","Scott Renshaw","cv865_2895.txt","http://www.imdb.com/title/tt0110892/"
"Hombres de negro",1997,"Barry Sonnenfeld",7.3,"P","E. Benjamin Kelsey","cv444_9974.txt","http://www.imdb.com/title/tt0119654/"
"Día de la independencia",1996,"Roland Emmerich",7,"P","Chew Joo Siang","cv479_5649.txt","http://www.imdb.com/title/tt0116629/"
"Casablanca",1942,"Michael Curtiz",8.5,"P","Dragan Antulov","cv930_13475.txt","http://www.imdb.com/title/tt0034583/"
"Brokedown Palace",1999,"Jonathan Kaplan",6.4,"P","Bruce Miller","cv601_23453.txt","http://www.imdb.com/title/tt0120620/"
"Black and White",1999,"James Toback",5,"P","Tim Chandler","cv609_23877.txt","http://www.imdb.com/title/tt0165643/"
"Ángeles caídos",1995,"Kar-Wai Wong",7.7,"P","David Nusair","cv867_16661.txt","http://www.imdb.com/title/tt0112913/"
"Extreme Prejudice",1987,"Walter Hill",6.6,"P","Jeff Meyer","cv090_0042.txt","http://www.imdb.com/title/tt0092997/"
"Belleza americana",1999,"Sam Mendes",8.4,"P","Ronald L. Strong","cv041_21113.txt","http://www.imdb.com/title/tt0169547/"
"Analízame",1999,"Harold Ramis",6.7,"P","Robert Workman","cv268_18834.txt","http://www.imdb.com/title/tt0122933/"
"La delgada línea roja",1998,"Terrence Malick",7.6,"P","George Wu","cv857_15958.txt","http://www.imdb.com/title/tt0120863/"
"Tiempos violentos",1994,"Quentin Tarantino",8.9,"P","Jason Wallis","cv496_10530.txt","http://www.imdb.com/title/tt0110912/"
"Ciudad en tinieblas",1998,"Alex Proyas",7.7,"P","Marty Mapes","cv684_11798.txt","http://www.imdb.com/title/tt0118929/"
"Gridlock'd",1997,"Vondie Curtis-Hall",7,"P","Scott Renshaw","cv024_6778.txt","http://www.imdb.com/title/tt0119225/"
"Nosferatu",1922,"F.W. Murnau",8,"P","Jason Wallis","cv068_13400.txt","http://www.imdb.com/title/tt0013442/"
"Hombres de negro",1997,"Barry Sonnenfeld",7.3,"P","Homer Yen","cv622_8147.txt","http://www.imdb.com/title/tt0119654/"
"Austin Powers: El espía seductor",1999,"Jay Roach",6.6,"P","Eugene Novikov","cv773_18817.txt","http://www.imdb.com/title/tt0145660/"
"La mejor de mis bodas",1998,"Frank Coraci",6.8,"P","Nathaniel R. Atcheson","cv103_11021.txt","http://www.imdb.com/title/tt0120888/"
"Infidelidades",1997,"Alan Rudolph",6.1,"P","James Berardinelli","cv101_10175.txt","http://www.imdb.com/title/tt0118566/"
"Volcano",1997,"Mick Jackson",5.4,"P","Paul Miller","cv057_7453.txt","http://www.imdb.com/title/tt0120461/"
"Desde el infierno",2001,"Albert Hughes",6.8,"P","Jon Popick","cv000_29590.txt","http://www.imdb.com/title/tt0120681/"
"Dogma",1999,"Kevin Smith",7.3,"P","George Wu","cv599_20988.txt","http://www.imdb.com/title/tt0120655/"
"La vida es bella",1997,"Roberto Benigni",8.6,"P","Matt Williams","cv751_15719.txt","http://www.imdb.com/title/tt0118799/"
"Grandes esperanzas",1998,"Alfonso Cuarón",6.8,"P","David Sunga","cv066_10821.txt","http://www.imdb.com/title/tt0119223/"
"Les Misérables",1998,"Bille August",7.5,"P","Nathaniel R. Atcheson","cv800_12368.txt","http://www.imdb.com/title/tt0119683/"
"El Santo",1997,"Phillip Noyce",6.2,"P","David Landers","cv182_7281.txt","http://www.imdb.com/title/tt0120053/"
"Gladiador",2000,"Ridley Scott",8.5,"P","Lars Lindahl","cv888_24435.txt","http://www.imdb.com/title/tt0172495/"
"Apocalipsis",1979,"Francis Ford Coppola",8.5,"P","Sridhar Prasad","cv859_14107.txt","http://www.imdb.com/title/tt0078788/"
"Radioland Murders",1994,"Mel Smith",6.2,"P","Kevin Kibelstis","cv170_3006.txt","http://www.imdb.com/title/tt0110939/"
"El mundo de las Spice Girls",1997,"Bob Spiers",3.4,"P","Ryan Kohler","cv340_13287.txt","http://www.imdb.com/title/tt0120185/"
"Pane e tulipani",2000,"Silvio Soldini",7.4,"P","Susan Granger","cv877_29274.txt","http://www.imdb.com/title/tt0237539/"
"Session 9",2001,"Brad Anderson",6.5,"P","Robin Clifford","cv960_29007.txt","http://www.imdb.com/title/tt0261983/"
"El gran Lebowski",1998,"Joel Coen",8.2,"P","Ryan Davis","cv718_11434.txt","http://www.imdb.com/title/tt0118715/"
"Mother",1996,"Albert Brooks",6.9,"P","Brian Takeshita","cv973_10066.txt","http://www.imdb.com/title/tt0117091/"
"Quiz Show - El dilema",1994,"Robert Redford",7.5,"P","Max Hoffmann","cv200_2915.txt","http://www.imdb.com/title/tt0110932/"
"Caracortada",1983,"Brian De Palma",8.3,"P","Mike Watson","cv971_10874.txt","http://www.imdb.com/title/tt0086250/"
"¿Quieres ser John Malkovich?",1999,"Spike Jonze",7.8,"P","Nick Lyons","cv244_21649.txt","http://www.imdb.com/title/tt0120601/"
"Jackie Brown: La estafa",1997,"Quentin Tarantino",7.5,"P","Boyd Petrie","cv433_10144.txt","http://www.imdb.com/title/tt0119396/"
"Del crepúsculo al amanecer",1996,"Robert Rodriguez",7.3,"P","Andrew Hicks","cv842_5866.txt","http://www.imdb.com/title/tt0116367/"
"Gladiador",2000,"Ridley Scott",8.5,"P","Christian Pyle","cv341_24430.txt","http://www.imdb.com/title/tt0172495/"
"El rescate",1996,"Ron Howard",6.6,"P","Phil Curtolo","cv020_8825.txt","http://www.imdb.com/title/tt0117438/"
"La tormenta de hielo",1997,"Ang Lee",7.5,"P","E. Benjamin Kelsey","cv366_10221.txt","http://www.imdb.com/title/tt0119349/"
"Ulee's Gold",1997,"Victor Nunez",7.1,"P","Long Che Chan","cv216_18738.txt","http://www.imdb.com/title/tt0120402/"
"El quinto elemento",1997,"Luc Besson",7.7,"P","Phil Curtolo","cv806_8842.txt","http://www.imdb.com/title/tt0119116/"
"Niagara, Niagara",1997,"Bob Gosse",7.1,"P","Michael Dequina","cv906_11491.txt","http://www.imdb.com/title/tt0119780/"
"Siu nin Wong Fei Hung chi: Tit ma lau",1993,"Woo-Ping Yuen",7.6,"P","Joshua Tyler","cv009_29592.txt","http://www.imdb.com/title/tt0108148/"
"Sous le sable",2000,"François Ozon",7.2,"P","Frankie Paiva","cv197_29328.txt","http://www.imdb.com/title/tt0240913/"
"Contacto",1997,"Robert Zemeckis",7.4,"P","Kevin Patterson","cv925_8969.txt","http://www.imdb.com/title/tt0118884/"
"Más allá de los sueños",1998,"Vincent Ward",7,"P","Homer Yen","cv629_14909.txt","http://www.imdb.com/title/tt0120889/"
"The Andromeda Strain",1971,"Robert Wise",7.2,"P","Paul McElligott","cv342_19456.txt","http://www.imdb.com/title/tt0066769/"
"Un romance peligroso",1998,"Steven Soderbergh",7,"P","David Butterworth","cv969_13250.txt","http://www.imdb.com/title/tt0120780/"
"Pane e tulipani",2000,"Silvio Soldini",7.4,"P","Pete Croatto","cv821_29364.txt","http://www.imdb.com/title/tt0237539/"
"Velvet Goldmine",1998,"Todd Haynes",7,"P","Matt Prigge","cv512_15965.txt","http://www.imdb.com/title/tt0120879/"
"Tres reyes",1999,"David O. Russell",7.1,"P","Bill Chambers","cv895_21022.txt","http://www.imdb.com/title/tt0120188/"
"Tienes un e-mail",1998,"Nora Ephron",6.6,"P","Bob Bloom","cv285_16494.txt","http://www.imdb.com/title/tt0128853/"
"The Apostle",1997,"Robert Duvall",7.2,"P","David Sunga","cv923_11051.txt","http://www.imdb.com/title/tt0118632/"
"Addicted to Love",1997,"Griffin Dunne",6.1,"P","Monika Huebner","cv725_10103.txt","http://www.imdb.com/title/tt0118556/"
"Bubbles Galore",1996,"Cynthia Roberts",3.2,"P","Janet Rawlins","cv422_9381.txt","http://www.imdb.com/title/tt0115771/"
"Tarzán",1999,"Chris Buck",7.2,"P","Jon Turner","cv666_18963.txt","http://www.imdb.com/title/tt0120855/"
"Bowfinger, el director chiflado",1999,"Frank Oz",6.4,"P","Lars Lindahl","cv669_22995.txt","http://www.imdb.com/title/tt0131325/"
"El sastre de Panamá",2001,"John Boorman",6.1,"P","Edward Johnson-Ott","cv246_28807.txt","http://www.imdb.com/title/tt0236784/"
"El planeta de los simios",2001,"Tim Burton",5.7,"P","Bob Bloom","cv126_28971.txt","http://www.imdb.com/title/tt0133152/"
"Hermosa locura",2001,"John Stockwell",6.5,"P","Edward Johnson-Ott","cv095_28892.txt","http://www.imdb.com/title/tt0250224/"
"Pistolero",1995,"Robert Rodriguez",7.2,"P","Michael J. Legeros","cv841_3967.txt","http://www.imdb.com/title/tt0112851/"
"The Truman Show: Historia de una vida",1998,"Peter Weir",8.1,"P","Nicholas Amado","cv264_12801.txt","http://www.imdb.com/title/tt0120382/"
"¿Quién engañó a Roger Rabbit?",1988,"Robert Zemeckis",7.7,"P","George Lau","cv018_20137.txt","http://www.imdb.com/title/tt0096438/"
"Bodies, Rest & Motion",1993,"Michael Steinberg",5.6,"P","Mattias Thuresson","cv881_13254.txt","http://www.imdb.com/title/tt0106447/"
"The Castle",1997,"Rob Sitch",7.7,"P","Brian Takeshita","cv979_18921.txt","http://www.imdb.com/title/tt0118826/"
"¡Qué bello es vivir!",1946,"Frank Capra",8.6,"P","Sridhar Prasad","cv521_15828.txt","http://www.imdb.com/title/tt0038650/"
"Nosferatu, el vampiro",1979,"Werner Herzog",7.6,"P","Mike Watson","cv523_16615.txt","http://www.imdb.com/title/tt0079641/"
"El beso del escorpión",2001,"Woody Allen",6.8,"P","JoBlo","cv913_29252.txt","http://www.imdb.com/title/tt0256524/"
"Loco por Mary",1998,"Bobby Farrelly",7.1,"P","Berge Garabedian","cv884_13632.txt","http://www.imdb.com/title/tt0129387/"
"Joe",1998,"Ron Underwood",5.6,"P","James Brundage","cv287_15900.txt","http://www.imdb.com/title/tt0120751/"
"Kairo",2001,"Kiyoshi Kurosawa",6.6,"P","Mark R. Leeper","cv665_29538.txt","http://www.imdb.com/title/tt0286751/"
"Elizabeth - La reina virgen",1998,"Shekhar Kapur",7.5,"P","Pierce Dalton","cv471_16858.txt","http://www.imdb.com/title/tt0127536/"
"Mente indomable",1997,"Gus Van Sant",8.3,"P","Fernando Vallejo","cv253_10077.txt","http://www.imdb.com/title/tt0119217/"
"Los otros",2001,"Alejandro Amenábar",7.6,"P","Edward Johnson-Ott","cv721_29121.txt","http://www.imdb.com/title/tt0230600/"
"Swingers",1996,"Doug Liman",7.3,"P","Froilan Vispo","cv359_6647.txt","http://www.imdb.com/title/tt0117802/"
"Tu primera vez",1999,"Paul Weitz",7,"P","Jamey Hughton","cv828_19831.txt","http://www.imdb.com/title/tt0163651/"
"Vaselina",1978,"Randal Kleiser",7.2,"P","Berge Garabedian","cv619_12462.txt","http://www.imdb.com/title/tt0077631/"
"Star wars: Episodio I - La amenaza fantasma",1999,"George Lucas",6.5,"P","Matt Pusateri","cv946_18658.txt","http://www.imdb.com/title/tt0120915/"
"eXistenZ: Mundo virtual",1999,"David Cronenberg",6.8,"P","Alex Ioshpe","cv437_22849.txt","http://www.imdb.com/title/tt0120907/"
"Big Eden",2000,"Thomas Bezucha",7.4,"P","Susan Granger","cv217_28842.txt","http://www.imdb.com/title/tt0212815/"
"Amor a colores",1998,"Gary Ross",7.5,"P","Danielle Flynn","cv677_17715.txt","http://www.imdb.com/title/tt0120789/"
"La trampa",1999,"Alexander Payne",7.3,"P","McGhee","cv974_22941.txt","http://www.imdb.com/title/tt0126886/"
"Psicópata americano",2000,"Mary Harron",7.6,"P","Brian Matherly","cv620_24265.txt","http://www.imdb.com/title/tt0144084/"
"Taking Sides",2001,"István Szabó",7.2,"P","Mark R. Leeper","cv385_29741.txt","http://www.imdb.com/title/tt0260414/"
"60 segundos",2000,"Dominic Sena",6.5,"P","Chuck Dowling","cv952_25240.txt","http://www.imdb.com/title/tt0187078/"
"El padrino: Parte III",1990,"Francis Ford Coppola",7.6,"P","Alex Ioshpe","cv805_19601.txt","http://www.imdb.com/title/tt0099674/"
"Jude",1996,"Michael Winterbottom",7,"P","Ted Prigge","cv131_10713.txt","http://www.imdb.com/title/tt0116722/"
"Ciudad en tinieblas",1998,"Alex Proyas",7.7,"P","Christian MacInnis","cv249_11640.txt","http://www.imdb.com/title/tt0118929/"
