state  rent  house  COL  pop  income
AK  949 237.8 133.2   698.47  68.60
AL  631 121.5  93.3  4708.71  36.11
AR  606 105.7  90.4  2889.45  34.03
AZ  866 229.2 104.2  6595.78  37.73
CA 1135 467.0 132.7 36961.66  49.96
CO  848 242.2 102.5  5024.75  49.48
CT  970 306.0 125.5  3518.29  61.44
DC 1011 474.1 141.3   599.66 162.15
DE  917 250.9 104.2   885.12  69.85
FL  947 218.7  98.7 18537.97  40.14
GA  787 169.1  93.0  9829.21  40.47
HI 1298 560.2 167.8  1295.18  49.30
IA  607 120.7  94.5  3007.86  45.12
ID  690 183.7  94.4  1545.80  34.12
IL  811 214.9  95.0 12910.41  49.08
IN  670 125.2  93.5  6423.11  39.68
KS  654 125.7  92.2  2818.75  43.54
KY  578 118.4  90.0  4314.11  36.26
LA  698 132.4  96.2  4492.08  49.47
MA  991 353.6 117.7  6593.59  55.35
MD 1074 341.2 123.6  5699.48  47.96
ME  702 180.2 114.6  1318.30  37.71
MI  706 151.3  93.0  9969.73  38.37
MN  734 213.8 103.4  5266.21  49.91
MO  657 141.5  92.0  5987.58  39.72
MS  638  99.7  91.8  2952.00  31.09
MT  631 180.3  99.4   974.99  36.81
NC  694 154.5  96.9  9380.88  42.66
ND  534 112.5  98.6   646.84  48.25
NE  626 126.5  90.8  1796.62  46.35
NH  914 264.7 118.3  1324.58  45.30
NJ 1068 364.1 129.8  8707.74  54.54
NM  668 165.1  98.9  2009.67  39.76
NV 1011 271.5 101.1  2643.09  49.65
NY  953 318.9 127.3 19541.45  58.57
OH  667 140.2  94.3 11542.65  40.85
OK  614 105.5  90.3  3687.05  39.72
OR  780 273.3 111.5  3825.66  42.23
PA  726 164.7 100.4 12604.77  43.90
RI  850 286.0 123.9  1053.21  44.97
SC  675	138.7  98.9  4561.24  34.29
SD  569 126.2 101.3   812.38  45.49
TN  660 138.6  89.9  6296.25  40.04
TX  768 126.8  90.7 24782.30  49.37
UT  784 236.0  94.7  2784.57  39.42
VA  934 269.6  97.7  7882.59  50.37
VT  797 214.7 121.7   621.76  40.92
WA  874 308.1 105.1  6664.20  48.43
WI  704 173.3  98.4  5654.77  42.52
WV  528  95.9  95.0  1819.78  33.88
WY  636 188.2  99.6   544.27  64.88
