Company	Market	Net cash	2009 cash	Cash flow	Cash+cash flow	current 	Dividend at
	cap ($Mil)	$Mil	flow $Mil	as % of cap	as % of cap	Dividend	60% payout
Adobe	17,254	1,370	1,118	6.48	14.42	0.0	3.9
Amazon	66,336	5,070	3,293	4.96	12.61	0.0	3.0
Apple	252,664	45,800	10,159	4.02	22.15	0.0	2.4
Cisco	125,246	23,700	10,173	8.12	27.05	0.0	4.9
Dell	24,153	8,800	3,906	16.17	52.61	0.0	9.7
eBay	31,361	6,720	2,908	9.27	30.70	0.0	5.6
Google	153,317	30,300	9,316	6.08	25.84	0.0	3.6
Hewlett-Packard	90,280	6,400	13,379	14.82	21.91	0.8	8.9
Intel	105,625	22,100	11,170	10.58	31.50	3.4	6.3
Microsoft	219,195	38,450	24,073	10.98	28.52	2.1	6.6
Oracle	127,578	9,914	8,681	6.80	14.58	0.8	4.1
Qualcomm	67,370	2,870	7,172	10.65	14.91	1.8	6.4
Symantec	11,793	1,040	1,693	14.36	23.17	0.0	8.6
Texas Instruments	30,560	3,557	2,643	8.65	20.29	1.9	5.2
Yahoo!	19,132	7,230	1,310	6.85	44.64	0.0	4.1
